product_id,name,brand,category,price,unit_price,unit_price_qt,currency,timestamp,is_offer
65393,"Poteter, Usorterte Vår Laveste Pris, Norge 5 kg",,Grønnsaker,99.8,19.96,kilogram,NOK,2026-03-03T13:10:36.104Z,false
62776,"Ekstra søte piccolo tomater Norge, 1 kg",Wiig Gartneri,Grønnsaker,199,199,kilogram,NOK,2026-03-03T13:10:36.105Z,false
63848,"Cherrytomater Vår Laveste Pris Spania/ Marokko/ Egypt, 250 g",,Grønnsaker,16.9,79.6,kilogram,NOK,2026-03-03T13:10:36.106Z,false
16227,"Sousvide kokte Rødbeter, Økologisk Norge, 500 g",,Grønnsaker,66.4,132.8,kilogram,NOK,2026-03-03T13:10:36.107Z,false
64160,"Tomater Vår Laveste Pris, Egypt/ Spania, 1 kg",,Grønnsaker,56.9,56.9,kilogram,NOK,2026-03-03T13:10:36.108Z,false
31143,"Økologisk Ingefær Kina/ Peru, 100 g",,Økologisk frukt og grønt,22.5,225,kilogram,NOK,2026-03-03T13:10:36.109Z,false
26255,"Ingefær Peru/ Kina, 500 g",,Grønnsaker,59.5,119,kilogram,NOK,2026-03-03T13:10:36.109Z,false
9272,"Ingefær Kina / Peru, 100 g",,Grønnsaker,13.4,134,kilogram,NOK,2026-03-03T13:10:36.110Z,false
67010,"Yoom tomater Norge, 250 g",Wiig Gartneri,Grønnsaker,44.5,178,kilogram,NOK,2026-03-03T13:10:36.111Z,false
67027,"Tomater miks Norge, 200 g",Wiig Gartneri,Grønnsaker,44.9,224.5,kilogram,NOK,2026-03-03T13:10:36.112Z,false
9212,"Gulrøtter 2. Sortering Norge, 1 kg",,Grønnsaker,24.9,24.9,kilogram,NOK,2026-03-03T13:10:36.113Z,false
19072,"Råkostblanding Norge, 1 kg",Huseby Gaard,Grønnsaker,55.4,55.4,kilogram,NOK,2026-03-03T13:10:37.413Z,false
27706,"Råkostmiks Vasket, Norge, 225 g",Huseby Gaard,Grønnsaker,23.3,103.56,kilogram,NOK,2026-03-03T13:10:37.415Z,false
68220,"Tomater Cherry Norge, 250 g",,Grønnsaker,33.68,134.72,kilogram,NOK,2026-03-03T13:10:37.417Z,true
65574,"Snacksgulrot Norge, 200 g",,Grønnsaker,19.9,99.5,kilogram,NOK,2026-03-03T13:10:37.418Z,true
9395,"Små Champignon Kurv, Polen, 250 g",,Grønnsaker,18.9,79.6,kilogram,NOK,2026-03-03T13:10:37.419Z,false
64198,"Avokado Spisemoden Columbia / Chile/ Spania, 4 stk",,Grønnsaker,59.9,119.8,kilogram,NOK,2026-03-03T13:10:37.420Z,false
37611,"Små Spisspaprika Klasse 2 Vår laveste pris, Nederland / Spania / Tyrkia, 180 g",,Grønnsaker,25.7,142.78,kilogram,NOK,2026-03-03T13:10:37.421Z,false
19450,"Økologisk Agurk Spania, 1 stk",,Økologisk frukt og grønt,36.9,36.9,stykk,NOK,2026-03-03T13:10:37.423Z,false
36960,"Økologisk Spisspaprika Hellas / Spania, 2 stk",,Grønnsaker,49.9,277.22,kilogram,NOK,2026-03-03T13:10:37.424Z,false
13732,"Aromasopp Polen, 250 g",,Grønnsaker,37.3,149.2,kilogram,NOK,2026-03-03T13:10:37.425Z,false
33153,"Stor Champignon Polen, 400 g",,Grønnsaker,42.9,107.25,kilogram,NOK,2026-03-03T13:10:37.426Z,true
60887,"Miniagurk Spania, 250 g",,Grønnsaker,45.9,146.88,kilogram,NOK,2026-03-03T13:10:37.427Z,true
68944,"Maiskorn 3pk Økologisk, 570 g",Kolonihagen,Grønnsaker,44.1,122.5,kilogram,NOK,2026-03-03T13:10:37.428Z,true
37122,Kinesisk Hvitløk u/fedd 250 g,,Grønnsaker,59.3,237.2,kilogram,NOK,2026-03-03T13:10:37.429Z,false
63825,"Sellerirot , økologisk , Norge 1 stk",Hørte Gård,Grønnsaker,39.9,99.75,kilogram,NOK,2026-03-03T13:10:37.430Z,false
63827,"Rotmiks, økologisk , Norge 800 g",Hørte Gård,Grønnsaker,64.1,80.13,kilogram,NOK,2026-03-03T13:10:37.431Z,false
